Id, X, Y, Rotation
2, 6119, 4956, 0
1, 7443, 1871, 0
2, 8855, 2609, 90
0, 5233, 8583, 0
2, 7728, 439, 90
1, 7443, 2871, 0
2, 4880, 2495, 90
1, 371, 1973, 0
0, 8740, 152, 90
1, 5592, 54, 90
0, 116, 8681, 0
0, 7432, 5369, 90
0, 65, 3446, 90
1, 397, 5105, 0
1, 1890, 2358, 0
2, 4873, 7557, 0
0, 8650, 6525, 0
0, 1736, 4953, 90
0, 350, 118, 90
1, 562, 6374, 0
0, 6868, 7685, 0
2, 3653, 3827, 0
0, 8673, 8946, 0
4, 560, 7463, 0
0, 1942, 6267, 0
0, 3032, 7318, 0
2, 6592, 54, 90
0, 7356, 8723, 0
0, 2416, 8681, 90
5, 5016, 3991, 90
0, 4233, 8583, 90
0, 8759, 3970, 90
0, 3386, 2655, 0
0, 1429, 151, 0
0, 3294, 1516, 0
4, 6032, 3899, 0
0, 1416, 8681, 90
2, 8630, 7683, 0
0, 2918, 4909, 0
0, 1095, 3527, 90
2, 4757, 6301, 0
0, 8658, 5499, 0
2, 2095, 3527, 90
0, 1890, 1358, 0
1, 5015, 1383, 0
0, 4592, 54, 90
1, 6322, 6144, 90
4, 6315, 1383, 90
2, 3398, 5946, 0
1, 3292, 54, 0
