Id, X, Y, Rotation
15, 3000, 1000, 0
15, 7300, 1000, 0
15, 3000, 2500, 0
15, 7300, 2500, 0
15, 8000, 4000, 0
15, 12300, 4000, 0
15, 8000, 5500, 0
15, 12300, 5500, 0
15, 3000, 8500, 0
15, 7300, 8500, 0
15, 3000, 10000, 0
15, 7300, 10000, 0
15, 5500, -8000, 90
15, 7000, -8000, 90
15, 5500, -3700, 90
15, 7000, -3700, 90
15, 5500, 13500, 90
15, 7000, 13500, 90
11, 16600, 4000, 0
11, 16600, 5500, 0
11, 8000, 7000, 0
11, 4000, 11500, 0
13, -8000, 4000, 0
13, -3700, 4000, 0
13, -8000, 5500, 0
13, -3700, 5500, 0
13, 2100, 600, 90
13, 2100, 4900, 90
3, 5500, 18000, 90
3, 7000, 18000, 90
9, 3600, 5200, 90
5, 0, 10000, 0
